OBJECTID,LOCATION_ID,COUNTY_ID,COUNTY_DESC,MUN_SORT,MUNICIPALITY,ROADNAME,ID_PREFIX,ID_RTE_NO,MP_SUFFIX,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,ROUTEID,ROUTEID_RH,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,STMP_SEQ,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AVMT,LINK,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT,AAWDT_2010,AAWDT_2011,AAWDT_2012,AAWDT_2013,AAWDT_2014,AAWDT_2015,AAWDT_2016,AAWDT_2017,AAWDT_2018,AAWDT,MOTORCYCLE_AADT,CAR_AADT,LIGHT_TRUCK_AADT,BUS_AADT,SINGLE_UNIT_AADT,COMBINATION_UNIT_AADT,LOC_ERROR,TRUCK_AADT,SUTRUCK_AADT_PCT_TRUCK,CUTRUCK__AADT_PCT_TRUCK,MCYCLE_AADT_PCT_OVERALL,CAR_AADT_PCT_OVERALL,LIGHT_TRUCK_AADT_PCT_OVERALL,BUS_AADT_PCT_OVERALL,SUTRUCK_AADT_PCT_OVERALL,CUTRUCK_AADT_PCT_OVERALL,TRUCK_AADT_PCT_OVERALL,NUM_LANES_ANNO,K_FACTOR_ANNO,D_FACTOR_ANNO,NORTH_EAST_SPLIT_ANNO,SOUTH_WEST_SPLIT_ANNO,AADT_2010_ANNO,AADT_2011_ANNO,AADT_2012_ANNO,AADT_2013_ANNO,AADT_2014_ANNO,AADT_2015_ANNO,AADT_2016_ANNO,AADT_2017_ANNO,AADT_2018_ANNO,AADT_ANNO,AAWDT_2010_ANNO,AAWDT_2011_ANNO,AAWDT_2012_ANNO,AAWDT_2013_ANNO,AAWDT_2014_ANNO,AAWDT_2015_ANNO,AAWDT_2016_ANNO,AAWDT_2017_ANNO,AAWDT_2018_ANNO,AAWDT_ANNO,MOTORCYCLE_AADT_ANNO,CAR_AADT_ANNO,BUS_AADT_ANNO,LIGHT_TRUCK_AADT_ANNO,SINGLE_UNIT_AADT_ANNO,COMBINATION_UNIT_AADT_ANNO,TRUCK_AADT_ANNO,longitude,latitude,_source_layer_title,_source_layer_url
2057,S2012150882,15.0,Montgomery,0.0,None,Crabbs Branch Way,CO,4991.0,  ,2.12,1.59,2.25,Crabbs Branch Way - .10 Mi North Of E Gude Dr,Indianola Dr To E Gude Dr,Urban,4.0,Minor Arterial,15000CO04991  01SS**************,15000CO04991--1-----,1.0,North,4.0,F,0.0,8.88,63.52,49.25,50.75,4.7387,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150882,,,19830.0,19871.0,19812.0,20333.0,20724.0,21225.0,19670.0,19671.0,,,21420.0,21461.0,21202.0,21763.0,22184.0,22715.0,21050.0,20851.0,,,,,,,NO ERROR,,,,,,,,,,,4,8.88,63.52,49.25,50.75,N/A,N/A,"19,830","19,871","19,812","20,333","20,724","21,225","19,670","19,671",N/A,N/A,"21,420","21,461","21,202","21,763","22,184","22,715","21,050","20,851",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.1522315049878,39.10837311439863,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2058,S2011020810,2.0,Anne Arundel,0.0,None,Whiskey Bottom Rd,CO,995.0,  ,0.83,0.0,1.03,Whiskey Bottom Rd - .10 Mile South Of Brock Bridge Rd,Md 198 To Howard Co/l,Urban,5.0,Major Collector,02000CO00995  01NN**************,02000CO00995--1-----,1.0,North,3.0,F,0.0,9.74,53.39,48.0,52.0,3.858,https://maps.roads.maryland.gov/itms_public/?stationid=S2011020810,,9360.0,9291.0,9312.0,9283.0,9524.0,9715.0,10230.0,10141.0,10262.0,,10110.0,10031.0,10062.0,9933.0,10194.0,10415.0,10840.0,10751.0,11162.0,,,,,,,NO ERROR,,,,,,,,,,,3,9.74,53.39,48,52,N/A,"9,360","9,291","9,312","9,283","9,524","9,715","10,230","10,141","10,262",N/A,"10,110","10,031","10,062","9,933","10,194","10,415","10,840","10,751","11,162",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.82346289187973,39.108634243365465,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2065,S2017150269,15.0,Montgomery,0.0,None,Avenel Farm Dr,CO,6187.0,  ,0.1,0.0,1.08,Avenel Farm Dr - .10 Mile North Of Oaklyn Dr,Oaklyn Dr To Oaklyn Dr,Urban,6.0,Minor Collector,15000CO06187  01NN**************,15000CO06187--1-----,1.0,North,2.0,F,0.0,9.03,57.14,49.76,50.24,0.2294,https://maps.roads.maryland.gov/itms_public/?stationid=S2017150269,,,,,,,,580.0,581.0,582.0,,,,,,,,620.0,621.0,642.0,21.0,499.0,59.0,0.0,3.0,0.0,NO ERROR,3.0,1.0,0.0,0.03608247,0.85738832,0.10137457,0.0,0.00515464,0.0,0.00515464,2,9.03,57.14,49.76,50.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,580,581,582,N/A,N/A,N/A,N/A,N/A,N/A,N/A,620,621,642,21,499,0,59,3,0,3,-77.19902008588124,39.00094034131425,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2066,S2000150179,15.0,Montgomery,0.0,None,Ramp 4 Fr Us 29 Nb To Is 495 Eb,RP,495.0,  ,0.1,0.0,0.23,Exit 30 Ramp 4 Fr Us 29 Nb To Is 495 Eb,Exit 30 Ramp 04 Colesville Rd To Capital Beltway,Urban,1.0,Interstate,15000RP00495  02NNIS30        04,15000RP00495--103004,2.0,East,1.0,F,0.0,9.82,100.0,100.0,0.0,0.9229,https://maps.roads.maryland.gov/itms_public/?stationid=S2000150179,9970.0,9981.0,10032.0,10123.0,10114.0,10365.0,10710.0,10971.0,10912.0,10993.0,10570.0,10581.0,10632.0,10733.0,10624.0,10885.0,11250.0,11411.0,11352.0,11433.0,,,,,,,NO ERROR,,,,,,,,,,,1,9.82,100,100,0,"9,970","9,981","10,032","10,123","10,114","10,365","10,710","10,971","10,912","10,993","10,570","10,581","10,632","10,733","10,624","10,885","11,250","11,411","11,352","11,433",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.01541807104671,39.01507554597535,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2069,B3120,16.0,Prince George's,0.0,None,Pennsylvania Ave,MD,4.0,  ,9.67,9.37,9.79,Md4-.30 Mi N Of Is95,Is 95 To Forestville Rd,Urban,3.0,Principal Arterial Other,16000MD00004  01NN**************,16000MD00004--1-----,1.0,South,4.0,C,4.0,6.58,55.7,52.9,47.1,9.6058,https://maps.roads.maryland.gov/itms_public/?stationid=B3120,63310.0,63561.0,63052.0,61620.0,61441.0,63042.0,62630.0,64131.0,63552.0,62660.0,67740.0,68651.0,68102.0,66550.0,65741.0,67462.0,67010.0,68621.0,68002.0,66420.0,,,,,,,NO ERROR,,,,,,,,,,,4,6.58,55.7,52.9,47.1,"63,310","63,561","63,052","61,620","61,441","63,042","62,630","64,131","63,552","62,660","67,740","68,651","68,102","66,550","65,741","67,462","67,010","68,621","68,002","66,420",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.87185555844344,38.84071455061711,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2074,B2947,15.0,Montgomery,0.0,None,Colesville Rd,US,29.0,  ,2.23,1.51,2.38,Us29-.15 Mi S Of Is495,Dale Dr To Is 495,Urban,3.0,Principal Arterial Other,15000US00029  01NN**************,15000US00029--1-----,1.0,North,6.0,C,1.0,7.74,61.31,51.97,48.03,18.8085,https://maps.roads.maryland.gov/itms_public/?stationid=B2947,61270.0,61521.0,61032.0,59100.0,58921.0,60452.0,55600.0,56931.0,56422.0,59230.0,65560.0,66441.0,65922.0,63830.0,63051.0,64682.0,59490.0,60921.0,60372.0,62780.0,81.0,53220.0,4238.0,584.0,945.0,162.0,NO ERROR,1107.0,0.85365854,0.14634146,0.00136755,0.89853115,0.07155158,0.00985987,0.01595475,0.0027351,0.01868985,6,7.74,61.31,51.97,48.03,"61,270","61,521","61,032","59,100","58,921","60,452","55,600","56,931","56,422","59,230","65,560","66,441","65,922","63,830","63,051","64,682","59,490","60,921","60,372","62,780",81,"53,220",584,"4,238",945,162,"1,107",-77.01661527469048,39.0137789369654,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2078,S2012150662,15.0,Montgomery,0.0,None,Lockwood Dr,CO,109.0,  ,0.4,0.33,1.4,Lockwood Dr - Between Burnt Mills Ave & Northwest Dr,Burnt Mills Rd To Stewart La,Urban,5.0,Major Collector,15000CO00109  01NN**************,15000CO00109--1-----,1.0,North,3.0,F,0.0,10.81,60.53,50.35,49.65,5.0111,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150662,,,11810.0,11831.0,11802.0,12113.0,12344.0,12645.0,12830.0,12831.0,,,12760.0,12781.0,12632.0,12963.0,13214.0,13535.0,13730.0,13601.0,,,,,,,NO ERROR,,,,,,,,,,,3,10.81,60.53,50.35,49.65,N/A,N/A,"11,810","11,831","11,802","12,113","12,344","12,645","12,830","12,831",N/A,N/A,"12,760","12,781","12,632","12,963","13,214","13,535","13,730","13,601",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.99629540721823,39.03619376160447,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2084,S2004160017,16.0,Prince George's,0.0,None,Ramp 9 Fr Is 595 Wb To Md 950 Sb,RP,95.0,  ,0.75,0.42,1.19,Exit 19 Ramp 9 Fr Is 595 Wb To Md 950/ramp 10 ,Exit 19 Ramp 9 Fr Ramp 2 To Md 950 Sb,Urban,1.0,Interstate,16000RP00095  02WWIS19        09,16000RP00095--101909,2.0,West,1.0,F,0.0,22.66,100.0,0.0,100.0,1.0261,https://maps.roads.maryland.gov/itms_public/?stationid=S2004160017,3260.0,3261.0,3282.0,3313.0,3450.0,3531.0,3612.0,3703.0,3620.0,3651.0,3460.0,3461.0,3482.0,3513.0,3620.0,3711.0,3792.0,3853.0,3770.0,3801.0,,,,,,,NO ERROR,,,,,,,,,,,1,22.66,100,0,100,"3,260","3,261","3,282","3,313","3,450","3,531","3,612","3,703","3,620","3,651","3,460","3,461","3,482","3,513","3,620","3,711","3,792","3,853","3,770","3,801",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.86023143053214,38.95033222141993,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2086,S2013160179,16.0,Prince George's,0.0,None,Ramp 22 Fr Harborview Ave To Ramp 11,RP,95.0,  ,0.01,0.0,0.363,Exit 2 Ramp 22 Fr Harborview Ave To National Ave,Exit 2 Ramp 22 Fr Harborview Ave To Ramp 11,Urban,1.0,Interstate,16000RP00095  02NNIS2         22,16000RP00095--100222,2.0,North,1.0,F,0.0,15.22,100.0,100.0,0.0,0.0073,https://maps.roads.maryland.gov/itms_public/?stationid=S2013160179,,,,40.0,41.0,42.0,43.0,44.0,45.0,55.0,,,,40.0,41.0,42.0,53.0,54.0,55.0,65.0,,,,,,,NO ERROR,,,,,,,,,,,1,15.22,100,100,0,N/A,N/A,N/A,40,41,42,43,44,45,55,N/A,N/A,N/A,40,41,42,53,54,55,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.00428427955012,38.797299958235406,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2095,S2012150912,15.0,Montgomery,0.0,None,Hillandale Rd,GV,442.0,  ,0.35,0.26,0.44,Hillandale Rd - .10 Mi North Of Little Falls Pkwy,Hillandale Rd (back) To Little Falls Pkwy,Urban,5.0,Major Collector,15000GV00442  01SS**************,15000GV00442--1-----,1.0,North,2.0,F,0.0,8.47,61.25,57.47,42.53,0.3049,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150912,,,4200.0,4211.0,4202.0,4313.0,4404.0,4515.0,4640.0,4641.0,,,4540.0,4551.0,4502.0,4623.0,4714.0,4795.0,4920.0,5111.0,,,,,,,NO ERROR,,,,,,,,,,,2,8.47,61.25,57.47,42.53,N/A,N/A,"4,200","4,211","4,202","4,313","4,404","4,515","4,640","4,641",N/A,N/A,"4,540","4,551","4,502","4,623","4,714","4,795","4,920","5,111",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.09969801729102,38.97375461483361,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2096,B150102,15.0,Montgomery,143.0,Takoma Park,Takoma Ave,MU,1220.0,  ,0.1,0.0,0.28,Takoma Ave-.10 Mi N Of Wash Dc Line,Washington Dc/l To Fenton St,Urban,5.0,Major Collector,15143MU01220  01NN**************,15143MU01220--1-----,1.0,South,2.0,F,0.0,9.33,52.44,48.86,51.14,0.813,https://maps.roads.maryland.gov/itms_public/?stationid=B150102,7725.0,7765.0,7705.0,7490.0,7471.0,7672.0,7823.0,8014.0,7945.0,7955.0,8305.0,8395.0,8325.0,8090.0,7991.0,8212.0,8373.0,8504.0,8425.0,8755.0,,,,,,,NO ERROR,,,,,,,,,,,2,9.33,52.44,48.86,51.14,"7,725","7,765","7,705","7,490","7,471","7,672","7,823","8,014","7,945","7,955","8,305","8,395","8,325","8,090","7,991","8,212","8,373","8,504","8,425","8,755",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.0202388656459,38.98038651139275,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2098,B160002,16.0,Prince George's,0.0,None,Montgomery Rd,CO,19.0,  ,1.38,0.0,1.68,Montgomery Rd-.10 Mi S Of 34th Pl,Old Gunpowder Rd To Powder Mill Rd,Urban,5.0,Major Collector,16000CO00019  01NN**************,16000CO00019--1-----,1.0,North,2.0,F,0.0,9.14,90.61,86.57,13.43,1.5342,https://maps.roads.maryland.gov/itms_public/?stationid=B160002,2202.0,2230.0,2211.0,2222.0,2400.0,2461.0,2512.0,2520.0,2501.0,2502.0,2362.0,2410.0,2391.0,2402.0,2570.0,2631.0,2692.0,2670.0,2651.0,2752.0,7.0,2046.0,265.0,20.0,109.0,55.0,NO ERROR,164.0,0.66463415,0.33536585,0.00279776,0.8177458,0.10591527,0.00799361,0.04356515,0.02198241,0.06554756,2,9.14,90.61,86.57,13.43,"2,202","2,230","2,211","2,222","2,400","2,461","2,512","2,520","2,501","2,502","2,362","2,410","2,391","2,402","2,570","2,631","2,692","2,670","2,651","2,752",7,"2,046",20,265,109,55,164,-76.92520219754213,39.04695452804613,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2099,B3245,16.0,Prince George's,0.0,None,Crain Hwy,US,301.0,  ,20.29,20.09,21.31,Us301-.20 Mi N Of Md214,Md 214 To Queen Anne Bridge Rd,Urban,3.0,Principal Arterial Other,16000US00301  01NN**************,16000US00301--1-----,1.0,South,4.0,C,2.0,7.33,51.74,49.28,50.72,26.4375,https://maps.roads.maryland.gov/itms_public/?stationid=B3245,56190.0,56421.0,55972.0,52340.0,52181.0,53542.0,56030.0,57381.0,56872.0,59370.0,60120.0,60941.0,60452.0,56530.0,55831.0,57292.0,59950.0,61401.0,60852.0,62930.0,123.0,47119.0,8047.0,388.0,2053.0,1640.0,NO ERROR,3693.0,0.5559166,0.4440834,0.00207175,0.79364999,0.13553983,0.00653529,0.03457975,0.02762338,0.06220313,4,7.33,51.74,49.28,50.72,"56,190","56,421","55,972","52,340","52,181","53,542","56,030","57,381","56,872","59,370","60,120","60,941","60,452","56,530","55,831","57,292","59,950","61,401","60,852","62,930",123,"47,119",388,"8,047","2,053","1,640","3,693",-76.71777581034387,38.90127412099296,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2106,S2012150954,15.0,Montgomery,130.0,Rockville,Jefferson Plaza                         ,MU,1481.0,  ,0.05,0.0,0.09,Jefferson Plaza - Between Md 28 & Fleet St,Veirs Mill Rd To Fleet St,Urban,5.0,Major Collector,15130MU01481  01SS**************,15130MU01481--1-----,1.0,South,2.0,F,0.0,21.55,100.0,0.0,100.0,0.0398,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150954,,,1220.0,1221.0,1222.0,1253.0,1284.0,1325.0,1210.0,1211.0,,,1320.0,1321.0,1312.0,1343.0,1374.0,1415.0,1280.0,1331.0,,,,,,,NO ERROR,,,,,,,,,,,2,21.55,100,0,100,N/A,N/A,"1,220","1,221","1,222","1,253","1,284","1,325","1,210","1,211",N/A,N/A,"1,320","1,321","1,312","1,343","1,374","1,415","1,280","1,331",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.1466278286185,39.08094247056367,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2108,S2012150726,15.0,Montgomery,0.0,None,Dufief Mill Rd,CO,210.0,  ,0.09,0.0,1.35,Dufief Mill Rd - .10 Mile North Of Travilah Rd,Travilah Rd To Flints Grove La,Urban,4.0,Minor Arterial,15000CO00210  01NN**************,15000CO00210--1-----,1.0,North,2.0,F,0.0,10.57,65.58,51.7,48.3,3.0013,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150726,,,6000.0,6011.0,5992.0,6153.0,6274.0,6435.0,6090.0,6091.0,,,6480.0,6491.0,6412.0,6583.0,6714.0,6895.0,6520.0,6461.0,,,,,,,NO ERROR,,,,,,,,,,,2,10.57,65.58,51.7,48.3,N/A,N/A,"6,000","6,011","5,992","6,153","6,274","6,435","6,090","6,091",N/A,N/A,"6,480","6,491","6,412","6,583","6,714","6,895","6,520","6,461",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.24948767390168,39.08276754909946,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2113,S2012150869,15.0,Montgomery,0.0,None,Bethesda Ave,CO,4419.0,  ,0.37,0.0,0.43,Bethesda Ave - .10 Mi West Of Md 355,Clarendon Rd To Wisconsin Ave,Urban,5.0,Major Collector,15000CO04419  01EE**************,15000CO04419--1-----,1.0,East,2.0,F,0.0,7.7,51.6,50.21,49.79,1.6597,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150869,,,9950.0,9971.0,9942.0,10203.0,10404.0,10655.0,10565.0,10575.0,,,10750.0,10771.0,10642.0,10923.0,11134.0,11295.0,11205.0,11635.0,,,,,,,NO ERROR,,,,,,,,,,,2,7.7,51.6,50.21,49.79,N/A,N/A,"9,950","9,971","9,942","10,203","10,404","10,655","10,565","10,575",N/A,N/A,"10,750","10,771","10,642","10,923","11,134","11,295","11,205","11,635",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.09374797839595,38.98102996437454,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2121,B3313,16.0,Prince George's,0.0,None,Martin Luther King Jr Hwy,MD,704.0,  ,5.56,5.16,6.53,Md704-.40 Mi E Of Is595/us50,Is 595/us 50 To Md 450,Urban,3.0,Principal Arterial Other,16000MD00704  01EE**************,16000MD00704--1-----,1.0,South,6.0,F,0.0,7.58,50.44,50.55,49.45,22.1582,https://maps.roads.maryland.gov/itms_public/?stationid=B3313,44891.0,48170.0,47791.0,47892.0,48720.0,49991.0,50942.0,44710.0,44311.0,44312.0,48031.0,52020.0,51611.0,51722.0,52130.0,53491.0,54512.0,47840.0,47411.0,46972.0,72.0,39231.0,3934.0,196.0,729.0,150.0,NO ERROR,879.0,0.82935154,0.17064846,0.00162484,0.8853358,0.08877956,0.00442318,0.01645153,0.00338509,0.01983661,6,7.58,50.44,50.55,49.45,"44,891","48,170","47,791","47,892","48,720","49,991","50,942","44,710","44,311","44,312","48,031","52,020","51,611","51,722","52,130","53,491","54,512","47,840","47,411","46,972",72,"39,231",196,"3,934",729,150,879,-76.83835007819536,38.950223804455376,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2128,S2006020048,2.0,Anne Arundel,0.0,None,Ramp 5 Fr Ramp 8 (fr Md 295) To Md 198,RP,295.0,  ,0.01,0.0,0.02,Exit 2 Ramp 5 Fr Ramp 8 (fr Md 295 Sb) To Md 198 Eb,Exit 2  Ramp 05 Ramp 8 Fr Md 295 Sb To Md 198 Wb To Laurel Ft Meade Rd,Urban,2.0,Principal Arterial Other Freeways and Expressways,02000RP00295  02SSMD2         05,02000RP00295--100205,2.0,East,1.0,F,0.0,6.68,100.0,100.0,0.0,0.0111,https://maps.roads.maryland.gov/itms_public/?stationid=S2006020048,,,1220.0,1221.0,1222.0,1450.0,1481.0,1522.0,1513.0,1514.0,,,1320.0,1321.0,1312.0,1550.0,1591.0,1632.0,1623.0,1614.0,,,,,,,NO ERROR,,,,,,,,,,,1,6.68,100,100,0,N/A,N/A,"1,220","1,221","1,222","1,450","1,481","1,522","1,513","1,514",N/A,N/A,"1,320","1,321","1,312","1,550","1,591","1,632","1,623","1,614",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.80285162081077,39.09716407769495,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2132,S2006130010,13.0,Howard,0.0,None,Ramp 2 Fr Md 216 Wb To Is 95 Nb,RP,95.0,  ,0.2,0.0,0.72,Exit 35 Ramp 2 Fr Md 216 Wb To Is 95 Nb,Exit 35 Ramp 02 Scaggsville Rd To No Name,Urban,1.0,Interstate,13000RP00095  02NNIS35        02,13000RP00095--103502,2.0,North,1.0,F,0.0,8.86,100.0,100.0,0.0,1.7826,https://maps.roads.maryland.gov/itms_public/?stationid=S2006130010,4540.0,4551.0,4880.0,4921.0,4922.0,5043.0,6610.0,6771.0,6732.0,6783.0,4810.0,4821.0,5170.0,5221.0,5172.0,5303.0,6940.0,7041.0,7002.0,7053.0,,,,,,,NO ERROR,,,,,,,,,,,1,8.86,100,100,0,"4,540","4,551","4,880","4,921","4,922","5,043","6,610","6,771","6,732","6,783","4,810","4,821","5,170","5,221","5,172","5,303","6,940","7,041","7,002","7,053",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.8588826775067,39.12707992957743,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2133,S2005150025,15.0,Montgomery,0.0,None,Greencastle Rd,CO,93.0,  ,0.98,0.0,2.43,Greencastle Rd - .10 Mile North Of Us 29,Cul De Sac To Prince Georges Co/l,Urban,5.0,Major Collector,15000CO00093  01NN**************,15000CO00093--1-----,1.0,South,2.0,F,0.0,8.84,55.72,48.16,51.84,8.5431,https://maps.roads.maryland.gov/itms_public/?stationid=S2005150025,9905.0,8950.0,8881.0,8902.0,8883.0,9114.0,9295.0,9720.0,9631.0,9632.0,10605.0,9670.0,9591.0,9612.0,9513.0,9754.0,9965.0,10300.0,10211.0,10602.0,16.0,8612.0,784.0,20.0,181.0,19.0,NO ERROR,200.0,0.905,0.095,0.00166113,0.89410299,0.08139535,0.00207641,0.01879153,0.00197259,0.02076412,2,8.84,55.72,48.16,51.84,"9,905","8,950","8,881","8,902","8,883","9,114","9,295","9,720","9,631","9,632","10,605","9,670","9,591","9,612","9,513","9,754","9,965","10,300","10,211","10,602",16,"8,612",20,784,181,19,200,-76.93640051233065,39.094911441709854,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2138,S2011020788,2.0,Anne Arundel,0.0,None,Conway Rd,CO,2633.0,  ,0.05,0.0,1.18,Conway Rd - Between Md 3/md 424 & Concord Blvd,Robert Crain Hwy To Patuxent Rd,Urban,5.0,Major Collector,02000CO02633  01NN**************,02000CO02633--1-----,1.0,North,3.0,F,0.0,9.0,52.98,48.18,51.82,4.3552,https://maps.roads.maryland.gov/itms_public/?stationid=S2011020788,,8830.0,8761.0,8782.0,8763.0,8994.0,9175.0,10080.0,9991.0,10112.0,,9540.0,9461.0,9492.0,9383.0,9624.0,9835.0,10690.0,10591.0,10992.0,,,,,,,NO ERROR,,,,,,,,,,,3,9,52.98,48.18,51.82,N/A,"8,830","8,761","8,782","8,763","8,994","9,175","10,080","9,991","10,112",N/A,"9,540","9,461","9,492","9,383","9,624","9,835","10,690","10,591","10,992",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.69661081503882,39.01996262259575,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2139,S1999160194,16.0,Prince George's,0.0,None,Ramp 5 Fr Is 95 Sb To Is 595 Eb,RP,95.0,  ,0.3,0.21,0.8,Exit 19 Ramp 5 Fr Is 95 Sb To Is 595 Eb,Exit 19 Ramp 5 Fr Ramp 10 To Is 595 Eb,Urban,1.0,Interstate,16000RP00095  02SSIS19        05,16000RP00095--101905,2.0,East,2.0,F,0.0,8.43,100.0,100.0,0.0,4.8585,https://maps.roads.maryland.gov/itms_public/?stationid=S1999160194,,21340.0,21451.0,21642.0,20940.0,21441.0,21892.0,22423.0,22400.0,22561.0,,22620.0,22741.0,22942.0,21990.0,22511.0,22992.0,23323.0,23300.0,23461.0,,,,,,,NO ERROR,,,,,,,,,,,2,8.43,100,100,0,N/A,"21,340","21,451","21,642","20,940","21,441","21,892","22,423","22,400","22,561",N/A,"22,620","22,741","22,942","21,990","22,511","22,992","23,323","23,300","23,461",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.86043454860105,38.94855664840262,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
2144,S2012161184,16.0,Prince George's,0.0,None,Palmer Rd,CO,3645.0,  ,0.11,0.0,1.4,Palmer Rd - .10 Mi East Of Md 210,Indian Head Hwy To Tucker Rd,Urban,4.0,Minor Arterial,16000CO03645  01EE**************,16000CO03645--1-----,1.0,West,2.0,F,0.0,7.1,72.63,50.21,49.79,7.2158,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161184,,,12830.0,12861.0,12822.0,13163.0,13414.0,13745.0,14120.0,14121.0,,,13860.0,13891.0,13722.0,14083.0,14354.0,14715.0,15110.0,14971.0,,,,,,,NO ERROR,,,,,,,,,,,2,7.1,72.63,50.21,49.79,N/A,N/A,"12,830","12,861","12,822","13,163","13,414","13,745","14,120","14,121",N/A,N/A,"13,860","13,891","13,722","14,083","14,354","14,715","15,110","14,971",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.99240483426541,38.76646930909044,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
